Date,Open,High,Low,Close,Volume
2023-07-05,106.1663672161292,107.34824942583114,105.31688321390399,106.46183776855469,3057900
2023-07-06,104.62437162925696,106.04632583953934,103.76565925046869,105.71392059326172,2248100
2023-07-07,105.26149447365023,106.13867077643427,104.68901714309767,105.07682800292969,2007700
2023-07-10,105.0121855795223,105.83396328384632,104.52280608682007,105.27072143554688,1974800
2023-07-11,106.01861152358143,108.29927778883574,105.39073581915746,107.49596405029297,2653400
2023-07-12,109.10261257082786,109.37037682408199,108.2161938392581,108.72403717041016,2831900
2023-07-13,109.30574641682232,109.46272066174433,107.72682488753524,109.22264862060547,1935900
2023-07-14,108.50243580612376,109.5642855590832,108.13309584275866,109.21340942382812,2027400
2023-07-17,108.95487130164597,110.0351848602951,108.12385816246443,109.14877319335938,1986700
2023-07-18,109.33342785838683,109.51809428213706,106.75729109300765,108.31774139404297,3427400
2023-07-19,108.9918025825866,112.73135102473282,108.9918025825866,111.88187408447266,2569500
2023-07-20,111.07858591414725,111.26325239489812,108.75174880706805,109.65663146972656,3009300
2023-07-21,109.9890254433431,111.79878353770461,109.61045003884492,110.94007110595703,2933200
2023-07-24,111.51252655274911,113.7654937184289,111.0323895892725,113.6823959350586,2668500
2023-07-25,112.94372466533092,113.15609742434351,111.34633238849072,111.37403869628906,2114400
2023-07-26,111.81724577510938,111.91881444098944,108.63170356581355,109.54581451416016,3455800
2023-07-27,110.67229420865468,110.86619609704078,106.12943185184828,106.32333374023438,3397900
2023-07-28,113.77474390629945,117.08032569072726,112.23275711751975,113.36846923828125,5273000
2023-07-31,113.36846006712499,115.54755794636479,111.21706145035947,115.06742095947266,5427800
2023-08-01,114.53187050642653,115.44598132791958,113.06374629535188,113.93169403076172,2689700
2023-08-02,113.07298625555676,115.16898628674227,112.90678364094546,113.90399932861328,2360900
2023-08-03,112.66672411483898,112.92526702310266,109.3796132000857,111.58641052246094,3072900
2023-08-04,111.74337041057761,113.71933804934267,110.64459306176077,110.7646255493164,1969900
2023-08-07,111.01393187998079,112.37124506182501,110.65382033181577,111.62333679199219,1791500
2023-08-08,110.69076335882416,110.96777009530956,108.88100526895492,109.97978973388672,1980300
2023-08-09,109.53658338049102,110.78310668442417,109.06568177790317,110.16445922851562,1714000
2023-08-10,110.98622479854404,112.91602226969407,110.51532324763893,111.50330352783203,1185000
2023-08-11,110.36757476895288,111.24475792233653,109.87820238964325,111.10625457763672,1190500
2023-08-14,110.66304717597032,113.00834750739006,110.16443935326791,112.16810607910156,1841800
2023-08-15,111.21706872592074,113.25767042628053,110.98623213076975,112.3066177368164,1469600
2023-08-16,112.62979010568621,113.1560972398195,111.74337141649731,111.86341094970703,2425200
2023-08-17,111.93728014268567,113.71010342866623,111.89111000775526,112.50975036621094,2608500
2023-08-18,111.24476987805608,112.62978938475982,110.81079597215715,112.0388412475586,1372800
2023-08-21,112.03884209744098,112.92526078768007,110.22908410696881,111.68797302246094,1511800
